book_name,summaries,categories,categories_list,combined_text
Reading Like A Writer," takes you through the various elements of world-famous literature and shows you how, by paying close attention to how great authors employ them, you can not only get a lot more from your reading, but also learn to be a better writer yourself.","productivity, psychology, creativity","['productivity', 'psychology', 'creativity']"," takes you through the various elements of world-famous literature and shows you how, by paying close attention to how great authors employ them, you can not only get a lot more from your reading, but also learn to be a better writer yourself. productivity psychology creativity"
Real Artists Don’t Starve," debunks all myths around the starving artist and shows you you can, will and deserve to make a living from your creative work.","money, productivity, motivation, marketing, creativity, work","['money', 'productivity', 'motivation', 'marketing', 'creativity', 'work']"," debunks all myths around the starving artist and shows you you can, will and deserve to make a living from your creative work. money productivity motivation marketing creativity work"
Real Change, offers a way out of the burdening problems around the world that sometimes weigh on our spirit and make us feel powerless by presenting meditation practices that help us alleviate negative emotions and face these issues with determination and change them for the better.,"relationships, motivation, management, mindfulness","['relationships', 'motivation', 'management', 'mindfulness']", offers a way out of the burdening problems around the world that sometimes weigh on our spirit and make us feel powerless by presenting meditation practices that help us alleviate negative emotions and face these issues with determination and change them for the better. relationships motivation management mindfulness
Real Help," offers a hands-on approach to improving your life and achieving unconventional success through a happy, fulfilled, ordinary life, rather than fighting the broken system until you’ve got millions in the bank and out-of-the-ordinary achievements.","relationships, happiness, psychology, motivation, communication, work, mindfulness","['relationships', 'happiness', 'psychology', 'motivation', 'communication', 'work', 'mindfulness']"," offers a hands-on approach to improving your life and achieving unconventional success through a happy, fulfilled, ordinary life, rather than fighting the broken system until you’ve got millions in the bank and out-of-the-ordinary achievements. relationships happiness psychology motivation communication work mindfulness"
Reality Is Broken," flips the image of the lonely gamer on its head, explaining how games create real value, can be used to make us happier and even help us solve global problems.","happiness, productivity, technology","['happiness', 'productivity', 'technology']"," flips the image of the lonely gamer on its head, explaining how games create real value, can be used to make us happier and even help us solve global problems. happiness productivity technology"
Reasons To Stay Alive," shows you the dangers and difficulties surrounding mental illness, uncovers the stigma around it, and identifies how to recover from it by sharing the story of Matt Haig’s recovery after an awful panic attack and subsequent battle with depression and anxiety.","happiness, psychology, motivation, health, mindfulness","['happiness', 'psychology', 'motivation', 'health', 'mindfulness']"," shows you the dangers and difficulties surrounding mental illness, uncovers the stigma around it, and identifies how to recover from it by sharing the story of Matt Haig’s recovery after an awful panic attack and subsequent battle with depression and anxiety. happiness psychology motivation health mindfulness"
Reinvent Yourself," is a template for how to best adapt in a world in which the only constant is change, so that you may find happiness, success, wealth, meaningful work, and whatever else you desire in life.","happiness, motivation, education, technology, work","['happiness', 'motivation', 'education', 'technology', 'work']"," is a template for how to best adapt in a world in which the only constant is change, so that you may find happiness, success, wealth, meaningful work, and whatever else you desire in life. happiness motivation education technology work"
Rejection Proof," shows you that no “No” lasts forever, and how you can use rejection therapy to change your perspective of fear, embrace new challenges, and hear the word “Yes” more often than ever before.","productivity, psychology, motivation, business, communication","['productivity', 'psychology', 'motivation', 'business', 'communication']"," shows you that no “No” lasts forever, and how you can use rejection therapy to change your perspective of fear, embrace new challenges, and hear the word “Yes” more often than ever before. productivity psychology motivation business communication"
Relationship Goals, will open your mind to the true nature of healthy connections with others and help you prepare for health and happiness while you’re single and when you get married by outlining common relationship traps and how to avoid them.,"relationships, happiness, psychology","['relationships', 'happiness', 'psychology']", will open your mind to the true nature of healthy connections with others and help you prepare for health and happiness while you’re single and when you get married by outlining common relationship traps and how to avoid them. relationships happiness psychology
Remote, explains why offices are a thing of the past and what both companies and employees can do to thrive in a company that’s spread all across the globe with people working wherever they choose to.,"productivity, management, business, technology, work","['productivity', 'management', 'business', 'technology', 'work']", explains why offices are a thing of the past and what both companies and employees can do to thrive in a company that’s spread all across the globe with people working wherever they choose to. productivity management business technology work
Requiem For The American Dream," argues that the gap between the wealthy and the poor is not an accident, but rather the result of intentional policy decisions made by rich individuals and corporations to increase their power and decrease that of ordinary citizens.","politics, economics","['politics', 'economics']"," argues that the gap between the wealthy and the poor is not an accident, but rather the result of intentional policy decisions made by rich individuals and corporations to increase their power and decrease that of ordinary citizens. politics economics"
Resilience," will help you find joy in self-transformation, showing you ways to become more positive, hard-working, and face hardship with the kind of bravery and optimism that will get you through any challenge.","happiness, productivity, psychology, motivation, business","['happiness', 'productivity', 'psychology', 'motivation', 'business']"," will help you find joy in self-transformation, showing you ways to become more positive, hard-working, and face hardship with the kind of bravery and optimism that will get you through any challenge. happiness productivity psychology motivation business"
Resisting Happiness," shows you how to get more joy in your life by exploring the roadblocks you unknowingly put in the way of it, explaining why it’s a choice, and giving specific tips to help you make the decision to be content.","happiness, motivation, health, mindfulness","['happiness', 'motivation', 'health', 'mindfulness']"," shows you how to get more joy in your life by exploring the roadblocks you unknowingly put in the way of it, explaining why it’s a choice, and giving specific tips to help you make the decision to be content. happiness motivation health mindfulness"
Rest," examines why traditional methods of working too long and hard are inefficient compared to working less, resting, and playing to accomplish your best work.","science, happiness, productivity, psychology, health, work","['science', 'happiness', 'productivity', 'psychology', 'health', 'work']"," examines why traditional methods of working too long and hard are inefficient compared to working less, resting, and playing to accomplish your best work. science happiness productivity psychology health work"
Restart," tells the story of India’s almost-leadership of the world’s economy, showing why and how it instead succumbed to problems from the past, how those problems still hold it back today, and what the country might do about them.","politics, economics, motivation, education","['politics', 'economics', 'motivation', 'education']"," tells the story of India’s almost-leadership of the world’s economy, showing why and how it instead succumbed to problems from the past, how those problems still hold it back today, and what the country might do about them. politics economics motivation education"
Rewire," explains why we keep engaging in addictive and self-destructive behavior, how our brains justify it and where you can get started on breaking your bad habits by becoming more mindful and disciplined.","happiness, productivity, psychology, mindfulness","['happiness', 'productivity', 'psychology', 'mindfulness']"," explains why we keep engaging in addictive and self-destructive behavior, how our brains justify it and where you can get started on breaking your bad habits by becoming more mindful and disciplined. happiness productivity psychology mindfulness"
Rework," shows you that you need less than you think to start a business – way less – by explaining why plans are actually harmful, how productivity isn’t a result from working long hours and why hiring and seeking investors should be your absolute last resort.","productivity, motivation, marketing, management, business, technology, work","['productivity', 'motivation', 'marketing', 'management', 'business', 'technology', 'work']"," shows you that you need less than you think to start a business – way less – by explaining why plans are actually harmful, how productivity isn’t a result from working long hours and why hiring and seeking investors should be your absolute last resort. productivity motivation marketing management business technology work"
Rich Dad Poor Dad," tells the story of a boy with two fathers, one rich, one poor, to help you develop the mindset and financial knowledge you need to build a life of wealth and freedom.",work,['work']," tells the story of a boy with two fathers, one rich, one poor, to help you develop the mindset and financial knowledge you need to build a life of wealth and freedom. work"
Rich Dad’s Cashflow Quadrant," is an inspiring read by Kiyosaki which comes as a sequel after his first groundbreaking book and presents how hard work doesn’t always equal becoming rich, as wealth is likely a result of smart money decisions.","economics, money, business, education, work","['economics', 'money', 'business', 'education', 'work']"," is an inspiring read by Kiyosaki which comes as a sequel after his first groundbreaking book and presents how hard work doesn’t always equal becoming rich, as wealth is likely a result of smart money decisions. economics money business education work"
Richard Nixon: The Life," presents the detailed biography of the thirty-seventh president of the United States, who became famous for his successful endeavors that put him in the White House and for his controversial life the complexities of being such a top tier political figure.","biography, politics, motivation, education, work","['biography', 'politics', 'motivation', 'education', 'work']"," presents the detailed biography of the thirty-seventh president of the United States, who became famous for his successful endeavors that put him in the White House and for his controversial life the complexities of being such a top tier political figure. biography politics motivation education work"
Rising Strong," describes a 3-phase process of bouncing back from failure, which you can implement both in your own life and as a team or company, in order to embrace setbacks as part of life, deal with your emotions, confront your own ideas and rise stronger every time.","relationships, happiness, psychology, communication, mindfulness","['relationships', 'happiness', 'psychology', 'communication', 'mindfulness']"," describes a 3-phase process of bouncing back from failure, which you can implement both in your own life and as a team or company, in order to embrace setbacks as part of life, deal with your emotions, confront your own ideas and rise stronger every time. relationships happiness psychology communication mindfulness"
Rookie Smarts," argues against experience and for a mindset of learning in the modern workplace, due to knowledge growing and changing fast, which gives rookies a competitive advantage, as they’re not bound by common practices and the status quo.","productivity, management, creativity, communication, work","['productivity', 'management', 'creativity', 'communication', 'work']"," argues against experience and for a mindset of learning in the modern workplace, due to knowledge growing and changing fast, which gives rookies a competitive advantage, as they’re not bound by common practices and the status quo. productivity management creativity communication work"
Rule #1," hands you the reins of personal investing, even if you’ve never held them before, by using a few simple rules from Warren Buffett’s value investing approach to guide you towards financial independence.",money,['money']," hands you the reins of personal investing, even if you’ve never held them before, by using a few simple rules from Warren Buffett’s value investing approach to guide you towards financial independence. money"
SPIN Selling," is your guide to becoming an expert salesperson by identifying what the author learned from 35,000 sales calls and 12 years of research on the topic.","relationships, productivity, marketing, business, communication","['relationships', 'productivity', 'marketing', 'business', 'communication']"," is your guide to becoming an expert salesperson by identifying what the author learned from 35,000 sales calls and 12 years of research on the topic. relationships productivity marketing business communication"
Safe People," focuses on the importance of recognizing the types of people, distinguishing between the safe and unsafe ones, avoiding toxic relationships, and establishing meaningful ones by reading people and trusting God.","relationships, happiness, psychology, health, religion, mindfulness","['relationships', 'happiness', 'psychology', 'health', 'religion', 'mindfulness']"," focuses on the importance of recognizing the types of people, distinguishing between the safe and unsafe ones, avoiding toxic relationships, and establishing meaningful ones by reading people and trusting God. relationships happiness psychology health religion mindfulness"
Salt Sugar Fat," takes you through the history of the demise of home-cooked meals by explaining why you love salt, sugar and fat so much and how the processed food industry managed to hook us by cramming all 3 of those into their products.","science, psychology, marketing, education","['science', 'psychology', 'marketing', 'education']"," takes you through the history of the demise of home-cooked meals by explaining why you love salt, sugar and fat so much and how the processed food industry managed to hook us by cramming all 3 of those into their products. science psychology marketing education"
Sam Walton: Made In America," shines a light on the man behind the biggest fortune ever amassed in business and explains how he built Walmart into a billion-dollar empire with hard work, incessant learning and an unrivaled resolve to make every single customer as happy as can be.","motivation, marketing, management, business, work","['motivation', 'marketing', 'management', 'business', 'work']"," shines a light on the man behind the biggest fortune ever amassed in business and explains how he built Walmart into a billion-dollar empire with hard work, incessant learning and an unrivaled resolve to make every single customer as happy as can be. motivation marketing management business work"
Say Nothing," contains the awful story of murder amid the Northern Ireland Conflict and a reflection on what caused it, those who were primarily involved, some of the worst parts of what happened, and other details of this dark era in the history of Ireland.","relationships, psychology","['relationships', 'psychology']"," contains the awful story of murder amid the Northern Ireland Conflict and a reflection on what caused it, those who were primarily involved, some of the worst parts of what happened, and other details of this dark era in the history of Ireland. relationships psychology"
Search Inside Yourself," adapts the ancient ethos of “knowing thyself” to the realities of a modern, fast-paced workplace by introducing mindfulness exercises to enhance emotional intelligence.","happiness, psychology, work, mindfulness","['happiness', 'psychology', 'work', 'mindfulness']"," adapts the ancient ethos of “knowing thyself” to the realities of a modern, fast-paced workplace by introducing mindfulness exercises to enhance emotional intelligence. happiness psychology work mindfulness"
Second Chance," prepares you for the greatest evolutionary event in history, which we’re all living through right now: the shift from the Industrial Age to the Information Age, where jobs and traditional educations aren’t the right tools to build wealth anymore.",education,['education']," prepares you for the greatest evolutionary event in history, which we’re all living through right now: the shift from the Industrial Age to the Information Age, where jobs and traditional educations aren’t the right tools to build wealth anymore. education"
Secrets Of The Millionaire Mind, suggests our financial success is predetermined from birth and shows us what to do to break through mental barriers and acquire the habits and thinking of the rich.,"money, psychology, motivation","['money', 'psychology', 'motivation']", suggests our financial success is predetermined from birth and shows us what to do to break through mental barriers and acquire the habits and thinking of the rich. money psychology motivation
See You At The Top," shows you how to have a spiritually, socially, financially, and physically successful and meaningful life by utilizing tools like positive thinking, kindness to others, and goal-setting.","happiness, productivity, motivation, work","['happiness', 'productivity', 'motivation', 'work']"," shows you how to have a spiritually, socially, financially, and physically successful and meaningful life by utilizing tools like positive thinking, kindness to others, and goal-setting. happiness productivity motivation work"
See You On The Internet, is the ultimate beginner-level digital marketing guide that teaches you how to build an online business presence by doing everything from starting a website to managing social media accounts.,"productivity, marketing, business, creativity, communication, technology, work","['productivity', 'marketing', 'business', 'creativity', 'communication', 'technology', 'work']", is the ultimate beginner-level digital marketing guide that teaches you how to build an online business presence by doing everything from starting a website to managing social media accounts. productivity marketing business creativity communication technology work
Self-Compassion," teaches you the art of being kind to yourself by identifying what causes you to beat yourself up, how it affects your life negatively, and what you can do to relate to yourself in healthier and more compassionate ways.","happiness, psychology, motivation, health, mindfulness","['happiness', 'psychology', 'motivation', 'health', 'mindfulness']"," teaches you the art of being kind to yourself by identifying what causes you to beat yourself up, how it affects your life negatively, and what you can do to relate to yourself in healthier and more compassionate ways. happiness psychology motivation health mindfulness"
Selfish Reasons to Have More Kids," explains how parents accidentally allowed modernity to suck all the pleasure out of family life, and why they should feel no guilt over choosing a low-stress way of parenting instead. ","relationships, happiness","['relationships', 'happiness']"," explains how parents accidentally allowed modernity to suck all the pleasure out of family life, and why they should feel no guilt over choosing a low-stress way of parenting instead.  relationships happiness"
Seven Brief Lessons On Physics," is your guide to getting up to speed with current theories on how the universe works by explaining general relativity and quantum mechanics, the two pillars of modern physics.",science,['science']," is your guide to getting up to speed with current theories on how the universe works by explaining general relativity and quantum mechanics, the two pillars of modern physics. science"
Sex at Dawn," challenges conventional views on sex by diving deep into our ancestors’ sexual history and the rise of monogamy, thus prompting us to rethink our understanding of what sex and relationships should really feel and be like.","science, relationships, psychology","['science', 'relationships', 'psychology']"," challenges conventional views on sex by diving deep into our ancestors’ sexual history and the rise of monogamy, thus prompting us to rethink our understanding of what sex and relationships should really feel and be like. science relationships psychology"
Shattered," explains the details around Hillary Clinton’s shocking 2016 presidential election loss and explains how an FBI investigation, Bernie Sanders, infighting on her team, and overconfidence in data analytics all contributed to her defeat.",politics,['politics']," explains the details around Hillary Clinton’s shocking 2016 presidential election loss and explains how an FBI investigation, Bernie Sanders, infighting on her team, and overconfidence in data analytics all contributed to her defeat. politics"
She Comes First," is sex therapist Dr. Ian Kerner’s guide to improving sex by emphasizing the female orgasm, explaining why changing your mindset about sex and focusing on the stimulation of the right places in the right ways can be more enjoyable than intercourse for both men and women.",relationships,['relationships']," is sex therapist Dr. Ian Kerner’s guide to improving sex by emphasizing the female orgasm, explaining why changing your mindset about sex and focusing on the stimulation of the right places in the right ways can be more enjoyable than intercourse for both men and women. relationships"
Shoe Dog," is the autobiography of Nike’s founder Phil Knight, who at last decided to share the story of how he founded one of the most iconic, profitable and world-changing brands in the world.","biography, productivity, management, business","['biography', 'productivity', 'management', 'business']"," is the autobiography of Nike’s founder Phil Knight, who at last decided to share the story of how he founded one of the most iconic, profitable and world-changing brands in the world. biography productivity management business"
Show Your Work!," talks about the importance of being discoverable, showcasing your work like a professional, and networking properly in order to succeed with your creative work.","marketing, business, education, technology","['marketing', 'business', 'education', 'technology']"," talks about the importance of being discoverable, showcasing your work like a professional, and networking properly in order to succeed with your creative work. marketing business education technology"
Siddhartha," presents the self-discovery expedition of a man during the time of the Buddha who, unsure of what life really means to him, takes an exploratory journey to pursue the highs and lows of life, which ultimately leads him to discover the equilibrium in all things and a higher wisdom within.","biography, happiness, motivation, fiction, religion, mindfulness","['biography', 'happiness', 'motivation', 'fiction', 'religion', 'mindfulness']"," presents the self-discovery expedition of a man during the time of the Buddha who, unsure of what life really means to him, takes an exploratory journey to pursue the highs and lows of life, which ultimately leads him to discover the equilibrium in all things and a higher wisdom within. biography happiness motivation fiction religion mindfulness"
Side Hustle," shows you how to set up new income streams without quitting your day job, taking you all the way from your initial idea to your first earned dollars in just 27 days.","motivation, marketing, business, creativity, work","['motivation', 'marketing', 'business', 'creativity', 'work']"," shows you how to set up new income streams without quitting your day job, taking you all the way from your initial idea to your first earned dollars in just 27 days. motivation marketing business creativity work"
Silent Spring," is the story that sparked the global grassroots environmental movement in 1962, explaining how chemical pesticides work, what their drawbacks are, and how we can protect crops in better, more sustainable ways.","science, politics, environment, health","['science', 'politics', 'environment', 'health']"," is the story that sparked the global grassroots environmental movement in 1962, explaining how chemical pesticides work, what their drawbacks are, and how we can protect crops in better, more sustainable ways. science politics environment health"
Simple Rules," shows you how to navigate our incredibly complex world by learning the structure of and coming up with your own set of easy, clear-cut rules to follow for the most various situations in life.","productivity, psychology, mindfulness","['productivity', 'psychology', 'mindfulness']"," shows you how to navigate our incredibly complex world by learning the structure of and coming up with your own set of easy, clear-cut rules to follow for the most various situations in life. productivity psychology mindfulness"
Singletasking," digs into neuroscientific research to explain why we’re not meant to multitask, how you can go back to the old, singletasking ways, and why that’s better for your work, relationships and happiness.","happiness, productivity, psychology, work, mindfulness","['happiness', 'productivity', 'psychology', 'work', 'mindfulness']"," digs into neuroscientific research to explain why we’re not meant to multitask, how you can go back to the old, singletasking ways, and why that’s better for your work, relationships and happiness. happiness productivity psychology work mindfulness"
Six Thinking Hats," divides thinking into six distinct areas and perspectives, which will help you, your team, and your company tackle problems from different angles, thus solving them with the power of parallel thinking and saving time, money, and energy as a result.","productivity, psychology, management, business, communication, work","['productivity', 'psychology', 'management', 'business', 'communication', 'work']"," divides thinking into six distinct areas and perspectives, which will help you, your team, and your company tackle problems from different angles, thus solving them with the power of parallel thinking and saving time, money, and energy as a result. productivity psychology management business communication work"
Skin In The Game," is an assessment of asymmetries in human interactions, aimed at helping you understand where and how gaps in uncertainty, risk, knowledge, and fairness emerge, and how to close them.","science, economics, psychology, management, education","['science', 'economics', 'psychology', 'management', 'education']"," is an assessment of asymmetries in human interactions, aimed at helping you understand where and how gaps in uncertainty, risk, knowledge, and fairness emerge, and how to close them. science economics psychology management education"
Sleep Smarter, is a collection of 21 simple tips and tricks to optimize your sleep environment once and then reap the benefits of more restful nights forever.,"science, productivity, psychology, health","['science', 'productivity', 'psychology', 'health']", is a collection of 21 simple tips and tricks to optimize your sleep environment once and then reap the benefits of more restful nights forever. science productivity psychology health
Small Giants," is your guide to keeping your company little but mighty that will allow you to pass up deliberate growth for staying true to what’s really important, which is your ideals, time, passions, and doing what you do best so well that customers can’t help but flock to you.","money, productivity, motivation, marketing, management, business, creativity, communication, work","['money', 'productivity', 'motivation', 'marketing', 'management', 'business', 'creativity', 'communication', 'work']"," is your guide to keeping your company little but mighty that will allow you to pass up deliberate growth for staying true to what’s really important, which is your ideals, time, passions, and doing what you do best so well that customers can’t help but flock to you. money productivity motivation marketing management business creativity communication work"
Smart People Should Build Things," explains how the current education system works against the economy by producing an endless string of bankers and consultants, instead of the innovators we need, and how we can encourage more young people to become entrepreneurs to solve this problem.","business, creativity, education","['business', 'creativity', 'education']"," explains how the current education system works against the economy by producing an endless string of bankers and consultants, instead of the innovators we need, and how we can encourage more young people to become entrepreneurs to solve this problem. business creativity education"
Smartcuts," explains how some people and businesses achieve rapid growth and build sustainable, profitable companies in the time it takes you to get another promotion, by working smart, not hard and hacking into the ladder of success, instead of climbing it one step at a time.","productivity, management, business, creativity, communication, work","['productivity', 'management', 'business', 'creativity', 'communication', 'work']"," explains how some people and businesses achieve rapid growth and build sustainable, profitable companies in the time it takes you to get another promotion, by working smart, not hard and hacking into the ladder of success, instead of climbing it one step at a time. productivity management business creativity communication work"
Smarter," is one “slow learner” turned A student’s experimental account of improving his intelligence by 16% through various tests, lessons and exercises and explains how you can increase your intelligence in scientifically proven ways.","science, productivity, psychology","['science', 'productivity', 'psychology']"," is one “slow learner” turned A student’s experimental account of improving his intelligence by 16% through various tests, lessons and exercises and explains how you can increase your intelligence in scientifically proven ways. science productivity psychology"
Smarter Faster Better," tells deeply researched stories from professionals around the world to show you how to do what you’re already doing in a better, more efficient way, by focusing on decisions, motivation and the way we set goals.","productivity, psychology, motivation","['productivity', 'psychology', 'motivation']"," tells deeply researched stories from professionals around the world to show you how to do what you’re already doing in a better, more efficient way, by focusing on decisions, motivation and the way we set goals. productivity psychology motivation"
So Good They Can’t Ignore You," sheds some much needed light on the “follow your passion” myth and shows you that the true path to work you love lies in becoming a craftsman of the work you already have, collecting rare skills and taking control of your hours in the process.","productivity, psychology, motivation, work","['productivity', 'psychology', 'motivation', 'work']"," sheds some much needed light on the “follow your passion” myth and shows you that the true path to work you love lies in becoming a craftsman of the work you already have, collecting rare skills and taking control of your hours in the process. productivity psychology motivation work"
So You Want To Talk About Race," will help you make the world a better, fairer place by explaining how deeply entrenched racism is in our culture today and giving specific tips for having effective conversations about it so you can help end this major issue with society.","politics, relationships, education","['politics', 'relationships', 'education']"," will help you make the world a better, fairer place by explaining how deeply entrenched racism is in our culture today and giving specific tips for having effective conversations about it so you can help end this major issue with society. politics relationships education"
So You’ve Been Publicly Shamed," explains how public shaming can bring down websites, close businesses, destroy careers, and why it often suppresses ethical behavior instead of encouraging it.",communication,['communication']," explains how public shaming can bring down websites, close businesses, destroy careers, and why it often suppresses ethical behavior instead of encouraging it. communication"
Social, explains how our innate drive to build social connections is the primary driver behind our behavior and explores ways we can use this knowledge to our advantage. ,"science, happiness, psychology, communication","['science', 'happiness', 'psychology', 'communication']", explains how our innate drive to build social connections is the primary driver behind our behavior and explores ways we can use this knowledge to our advantage.  science happiness psychology communication
Social Intelligence," is a complete guide to the neuroscience of relationships, explaining how your social interactions shape you and how you can use these effects to your advantage.","relationships, happiness, psychology, health, communication, mindfulness","['relationships', 'happiness', 'psychology', 'health', 'communication', 'mindfulness']"," is a complete guide to the neuroscience of relationships, explaining how your social interactions shape you and how you can use these effects to your advantage. relationships happiness psychology health communication mindfulness"
Socialism," by Michael Newman outlines the history of the governmental theory that everything should be owned and controlled by the community as a whole, including how this idea has impacted the world in the last 200 years, how its original aims have been lost, and ways we might use it in the future.","politics, economics, money, management, business","['politics', 'economics', 'money', 'management', 'business']"," by Michael Newman outlines the history of the governmental theory that everything should be owned and controlled by the community as a whole, including how this idea has impacted the world in the last 200 years, how its original aims have been lost, and ways we might use it in the future. politics economics money management business"
Solve For Happy," lays out a former Google engineers formula for happiness, which shows you not only that it’s our default state, but also how to overcome the obstacles we face in remaining in it.","happiness, psychology","['happiness', 'psychology']"," lays out a former Google engineers formula for happiness, which shows you not only that it’s our default state, but also how to overcome the obstacles we face in remaining in it. happiness psychology"
Soundtracks," teaches you how to beat overthinking by challenging whether your thoughts are true, retiring unhelpful and unkind ideas, adopting thought-boosting mantras from others, using symbols to reinforce positive thoughts, and more.","happiness, psychology, motivation, mindfulness","['happiness', 'psychology', 'motivation', 'mindfulness']"," teaches you how to beat overthinking by challenging whether your thoughts are true, retiring unhelpful and unkind ideas, adopting thought-boosting mantras from others, using symbols to reinforce positive thoughts, and more. happiness psychology motivation mindfulness"
Spark," teaches you how to become an influential, un-fireable asset to your team at work by taking on the role of a leader regardless of your position, utilizing the power of creative thinking to make better decisions, and learning how to be more self-aware and humble.","money, motivation, marketing, management, business, communication","['money', 'motivation', 'marketing', 'management', 'business', 'communication']"," teaches you how to become an influential, un-fireable asset to your team at work by taking on the role of a leader regardless of your position, utilizing the power of creative thinking to make better decisions, and learning how to be more self-aware and humble. money motivation marketing management business communication"
Sprint, completely overhauls your project management process so it allows you to go from zero to prototype in just five days and figure out if your idea is worth creating faster than ever.,"productivity, marketing, management, business, creativity","['productivity', 'marketing', 'management', 'business', 'creativity']", completely overhauls your project management process so it allows you to go from zero to prototype in just five days and figure out if your idea is worth creating faster than ever. productivity marketing management business creativity
Spy the Lie, is a collection of professional tips on how to more accurately detect when someone is lying to you through a combination of verbal and non-verbal cues.,"relationships, psychology, communication","['relationships', 'psychology', 'communication']", is a collection of professional tips on how to more accurately detect when someone is lying to you through a combination of verbal and non-verbal cues. relationships psychology communication
Stamped From The Beginning, will open your mind to the true origins of racism by challenging your long-held beliefs about it that have been perpetrated by racists throughout history.,politics,['politics'], will open your mind to the true origins of racism by challenging your long-held beliefs about it that have been perpetrated by racists throughout history. politics
Start," shows you how you can flip the switch of your life from average to awesome by punching fear in the face, being realistic, living with purpose and going through the five stages of success, one step at a time.","productivity, psychology, motivation, work","['productivity', 'psychology', 'motivation', 'work']"," shows you how you can flip the switch of your life from average to awesome by punching fear in the face, being realistic, living with purpose and going through the five stages of success, one step at a time. productivity psychology motivation work"
Start Something That Matters," encourages you to overcome your fear of the unknown and create a business that not only makes money but also helps people, even if you have few resources to start with. ","marketing, business, communication","['marketing', 'business', 'communication']"," encourages you to overcome your fear of the unknown and create a business that not only makes money but also helps people, even if you have few resources to start with.  marketing business communication"
Start Where You Are, helps you discover the power of meditation and compassion by going beyond what incense to buy and giving you real and powerful advice on how to make these tools part of your daily life so you can live with greater happiness and peace.,"happiness, psychology, motivation, mindfulness","['happiness', 'psychology', 'motivation', 'mindfulness']", helps you discover the power of meditation and compassion by going beyond what incense to buy and giving you real and powerful advice on how to make these tools part of your daily life so you can live with greater happiness and peace. happiness psychology motivation mindfulness
Start With Why," is Simon Sinek’s mission to help others do work, which inspires them, and uses real-world examples of great leaders to show you how they communicate and how you can adapt their mindset to inspire others yourself.","management, business, creativity, communication, work","['management', 'business', 'creativity', 'communication', 'work']"," is Simon Sinek’s mission to help others do work, which inspires them, and uses real-world examples of great leaders to show you how they communicate and how you can adapt their mindset to inspire others yourself. management business creativity communication work"
Start-Up Nation," explains how a tiny, controversial, politically isolated country like Israel manages to be one of the world’s creative hubs with more startups, venture capital and new technology than entire continents.",business,['business']," explains how a tiny, controversial, politically isolated country like Israel manages to be one of the world’s creative hubs with more startups, venture capital and new technology than entire continents. business"
Startup Growth Engines," shows you the strategies and tactics startups like Uber, Facebook and Yelp have used to achieve phenomenal growth in short time periods, and how you can use them to solve a big problem on a grand scale.","marketing, business","['marketing', 'business']"," shows you the strategies and tactics startups like Uber, Facebook and Yelp have used to achieve phenomenal growth in short time periods, and how you can use them to solve a big problem on a grand scale. marketing business"
Status Anxiety, identifies the ways that your desire to be seen as someone successful makes you mentally unhealthy and also shows ways that you can combat the disease of trying to climb the never-ending social ladder.,"happiness, psychology, health, mindfulness","['happiness', 'psychology', 'health', 'mindfulness']", identifies the ways that your desire to be seen as someone successful makes you mentally unhealthy and also shows ways that you can combat the disease of trying to climb the never-ending social ladder. happiness psychology health mindfulness
Steal Like An Artist," gives you permission to copy your heroes’ work and use it as a springboard to find your own, unique style, all while remembering to have fun, creating the right work environment for your art and letting neither criticism nor praise drive you off track.","productivity, motivation, business, creativity, work","['productivity', 'motivation', 'business', 'creativity', 'work']"," gives you permission to copy your heroes’ work and use it as a springboard to find your own, unique style, all while remembering to have fun, creating the right work environment for your art and letting neither criticism nor praise drive you off track. productivity motivation business creativity work"
Stealing Fire, examines how a state of ecstasy can enhance the body-brain connection and allow humans to achieve excellent performance by accelerating their neural processes.,"science, productivity, psychology, health, creativity, technology, work, mindfulness","['science', 'productivity', 'psychology', 'health', 'creativity', 'technology', 'work', 'mindfulness']", examines how a state of ecstasy can enhance the body-brain connection and allow humans to achieve excellent performance by accelerating their neural processes. science productivity psychology health creativity technology work mindfulness
Steve Jobs," is the most detailed and accurate account of the life of the man who created Apple, the most valuable technology company in the world.","productivity, motivation, management, business, creativity, work","['productivity', 'motivation', 'management', 'business', 'creativity', 'work']"," is the most detailed and accurate account of the life of the man who created Apple, the most valuable technology company in the world. productivity motivation management business creativity work"
Stillness Is The Key," will show you how to harness the power of slowing down your body and mind for less distractions, better self-control, and, above all, a happier and more peaceful life.","happiness, productivity, psychology, motivation, health, mindfulness","['happiness', 'productivity', 'psychology', 'motivation', 'health', 'mindfulness']"," will show you how to harness the power of slowing down your body and mind for less distractions, better self-control, and, above all, a happier and more peaceful life. happiness productivity psychology motivation health mindfulness"
